DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,Address,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
BLUE CORN RESTAURANT,1969,AMSTERDAM AVENUE,Manhattan,10032,1969 AMSTERDAM avenue Manhattan 10032,"1969 amsterdam avenue manhattan, ny 10032",Mexican,3/10/22,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,7,A,3/10/22,12/4/23,40.8331064,-73.941837
TULCINGO DEL VALLE,665,10 AVENUE,Manhattan,10036,665 10 avenue Manhattan 10036,"665 10 avenue manhattan, ny 10036",Mexican,3/23/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,3/23/23,12/4/23,40.7626742,-73.993268
L CHINGON MEXICAN CUISINE,400,AUDUBON AVENUE,Manhattan,10033,400 AUDUBON avenue Manhattan 10033,"400 audubon avenue manhattan, ny 10033",Mexican,1/13/23,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,2,A,1/13/23,12/4/23,40.8512099,-73.930537
LA ESQUINA,1402,2 AVENUE,Manhattan,10021,1402 2 avenue Manhattan 10021,"1402 2nd avenue manhattan, ny 10021",Mexican,12/1/22,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,18,B,12/1/22,12/4/23,40.7693694,-73.95793
BLUE MAIZ,606,8 AVENUE,Manhattan,10018,606 8 avenue Manhattan 10018,"606 8th avenue manhattan, ny 10018",Mexican,3/10/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,27,B,3/10/22,12/4/23,40.7555569,-73.990998
RANCHO TEQUILERIA,741,9 AVENUE,Manhattan,10019,741 9 avenue Manhattan 10019,"741 9th avenue manhattan , ny 10019",Mexican,6/23/23,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,13,A,6/23/23,12/4/23,40.7635769,-73.988889
AZULE CANTINA,31,WEST 52 STREET,Manhattan,10019,31 WEST 52 STREET Manhattan 10019,"31 west 52nd street manhattan, ny 10019",Mexican,7/26/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,7/26/22,12/4/23,40.7604847,-73.977937
LOS MARISCOS,409,WEST 15 STREET,Manhattan,10011,409 WEST 15 STREET Manhattan 10011,"409 west 15th street manhattan, ny 10011",Mexican,1/27/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,1/27/22,12/4/23,40.7419376,-74.005554
QUESADILLAS DONA MATY,158,EAST 116 STREET,Manhattan,10029,158 east 116 STREET Manhattan 10029,"158 east 116th street manhattan, ny 10029",Mexican,10/5/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,23,B,10/5/23,12/4/23,40.7983713,-73.941066
LA FIESTA RESTAURANT,3789,BROADWAY,Manhattan,10032,3789 BROADWAY Manhattan 10032,"3789 broadway manhattan, ny 10032",Mexican,4/13/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,4/13/23,12/4/23,40.8343457,-73.944677
TORTARIA,94,UNIVERSITY PLACE,Manhattan,10003,94 UNIVERSITY PLACE Manhattan 10003,"94 university place manhattan, ny 10003",Mexican,11/2/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,11/2/23,12/4/23,40.7337417,-73.992957
DOS CAMINOS SOHO,475,WEST BROADWAY,Manhattan,10012,475 WEST BROADWAY Manhattan 10012,"475 west broadway manhattan, ny 10012",Mexican,3/29/23,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,13,A,3/29/23,12/4/23,40.7265726,-74.000202
COSME,35,EAST 21 STREET,Manhattan,10010,35 east 21 STREET Manhattan 10010,"35 east 21st street manhattan , ny 0010",Mexican,4/18/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,9,A,4/18/23,12/4/23,40.7395685,-73.988871
ATLA,372,LAFAYETTE STREET,Manhattan,10012,372 LAFAYETTE STREET Manhattan 10012,"372 lafayette street manhattan, ny 10012",Mexican,4/6/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,4/6/23,12/4/23,40.7271323,-73.993765
DOS CAMINOS,1567,BROADWAY,Manhattan,10036,1567 BROADWAY Manhattan 10036,"1567 broadway manhattan, ny 10036",Mexican,11/17/22,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,11/17/22,12/4/23,40.7592398,-73.985168
BLUE MAIZ,606,8 AVENUE,Manhattan,10018,606 8 avenue Manhattan 10018,"606 8th avenue manhattan, ny 10018",Mexican,5/4/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,12,A,5/4/23,12/4/23,40.7555569,-73.990998
CASA CARMEN,114,FRANKLIN STREET,Manhattan,10013,114 FRANKLIN STREET Manhattan 10013,"114 franklin street manhattan, ny 10013",Mexican,5/10/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,5/10/23,12/4/23,40.7186263,-74.006082
CAZUELA MEXICANA,207,EAST 117 STREET,Manhattan,10035,207 east 117 STREET Manhattan 10035,"207 east 117th street manhattan, ny 10035",Mexican,8/23/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,26,B,8/23/23,12/4/23,40.7984444,-73.939083
CILANTRO,485,COLUMBUS AVENUE,Manhattan,10024,485 COLUMBUS avenue Manhattan 10024,"485 columbus avenue manhattan, ny 10024",Mexican,2/17/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,2/17/22,12/4/23,40.7847694,-73.973412
LUPE'S EAST L.A. KITCHEN,110,AVENUE OF THE AMERICAS,Manhattan,10013,110 avenue OF THE AMERICAS Manhattan 10013,"110 avenue of the americas manhattan, ny 10013",Mexican,2/11/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,0,A,2/11/22,12/4/23,40.7236795,-74.004719
MEXICO LINDO RESTAURANT,459,2 AVENUE,Manhattan,10010,459 2 avenue Manhattan 10010,"459 2nd avenue manhattan, ny 10010",Mexican,3/2/22,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12,A,3/2/22,12/4/23,40.7396441,-73.979615
BLUE MAIZ,606,8 AVENUE,Manhattan,10018,606 8 avenue Manhattan 10018,"606 8th avenue manhattan, ny 10018",Mexican,3/10/22,Violations were cited in the following area(s).,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,Critical,27,B,3/10/22,12/4/23,40.7555569,-73.990998
SOL MAYA RESTAURANT,2061,2 AVENUE,Manhattan,10029,2061 2 avenue Manhattan 10029,"2061 2nd avenue manhattan, ny 10029",Mexican,5/4/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,5/4/23,12/4/23,40.790522,-73.942518
TAQUERIA GUADALUPE,1743,LEXINGTON AVENUE,Manhattan,10029,1743 LEXINGTON avenue Manhattan 10029,"1743 lexington avenue manhattan, ny 10029",Mexican,2/15/23,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,12,A,2/15/23,12/4/23,40.7937951,-73.945126
PINK TACO,7,TIMES SQUARE,Manhattan,10036,7 TIMES SQUARE Manhattan 10036,"7 times square manhattan, ny 10036",Mexican,8/23/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,8/23/23,12/4/23,40.7559078,-73.986681
QUESADILLAS DE MATY,2141,2 AVENUE,Manhattan,10029,2141 2 avenue Manhattan 10029,"2141 2nd avenue manhattan, ny 10029",Mexican,8/16/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A,8/16/22,12/4/23,40.7932795,-73.940504
EL MITOTE,208,COLUMBUS AVENUE,Manhattan,10023,208 COLUMBUS avenue Manhattan 10023,"208 columbus avenue manhattan, ny 10023",Mexican,4/18/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,4/18/22,12/4/23,40.7757926,-73.979987
TACOMBI,139,EAST 12 STREET,Manhattan,10003,139 east 12 STREET Manhattan 10003,"139 east 12th street manhattan, ny 10003",Mexican,9/19/23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,12,A,9/19/23,12/4/23,40.7322015,-73.98871
SERRANO SALSA,4979,BROADWAY,Manhattan,10034,4979 BROADWAY Manhattan 10034,"4979 broadway manhattan, ny 10034",Mexican,8/2/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,8/2/23,12/4/23,40.8682446,-73.919339
LUCHADORES,87,SOUTH STREET,Manhattan,10038,87 SOUTH STREET Manhattan 10038,"87 south street manhattan, ny 10038",Mexican,1/19/22,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,9,A,1/19/22,12/4/23,40.705737,-74.003964
EL CENTRO,824,9 AVENUE,Manhattan,10019,824 9 avenue Manhattan 10019,"824 9th avenue manhattan, ny 10019",Mexican,3/1/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,3/1/22,12/4/23,40.7661184,-73.987011
OXIDO,1450,BROADWAY,Manhattan,10018,1450 BROADWAY Manhattan 10018,"1450 broadway manhattan, ny 10018",Mexican,3/3/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,3/3/23,12/4/23,40.7549197,-73.98666
QUESADILLAS DONA MATY,228,EAST 116 STREET,Manhattan,10029,228 east 116 STREET Manhattan 10029,"228 east 116th street manhattan, ny 10029",Mexican,10/23/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,25,B,10/23/23,12/4/23,40.7976018,-73.939239
EL TORO MEXICAN GRILL,69,NEW STREET,Manhattan,10004,69 NEW STREET Manhattan 10004,"69 new street manhattan, ny 10004",Mexican,4/13/23,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,10,A,4/13/23,12/4/23,40.7055003,-74.012396
EL CABRON TAQUERIA,23,ESSEX STREET,Manhattan,10002,23 ESSEX STREET Manhattan 10002,"23 essex street manhattan, ny 10002",Mexican,4/25/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A,4/25/23,12/4/23,40.7153652,-73.98986
TACO BELL,1501,BROADWAY,Manhattan,10036,1501 BROADWAY Manhattan 10036,"1501 broadway manhattan, ny 10036",Mexican,10/28/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A,10/28/22,12/4/23,40.7570962,-73.986193
THE JAGUAR RESTAURANT,1735,LEXINGTON AVENUE,Manhattan,10029,1735 LEXINGTON avenue Manhattan 10029,"1735 lexington avenue manhattan, ny 10029",Mexican,2/9/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2/9/23,12/4/23,40.7935701,-73.945292
CALEXICO,1491,2 AVENUE,Manhattan,10075,1491 2 avenue Manhattan 10075,"1491 2nd avenue manhattan, ny 10075",Mexican,7/13/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,7/13/22,12/4/23,40.7724317,-73.955722
DOS TOROS,636,LEXINGTON AVENUE,Manhattan,10022,636 LEXINGTON avenue Manhattan 10022,"636 lexington avenue manhattan, ny 10022",Mexican,8/12/22,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,13,A,8/12/22,12/4/23,40.7590915,-73.970477
MI RANCHITO MEXICAN RESTAURANT,1468,ST NICHOLAS AVENUE,Manhattan,10033,1468 ST NICHOLAS avenue Manhattan 10033,"1468 st nicholas avenue manhattan, ny 10033",Mexican,1/4/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,27,B,1/4/23,12/4/23,40.8508132,-73.932623
SABOR A MEXICO II,233,EAST 77 STREET,Manhattan,10075,233 east 77 STREET Manhattan 10075,"233 east 77th street manhattan, ny 10075",Mexican,9/19/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,9/19/22,12/4/23,40.772608,-73.957401
